2013-02-28 06:48:17 status unpacked libc-bin:i386 2.13-38
2013-02-28 06:48:17 status unpacked libc-bin:i386 2.13-38
2013-02-28 06:48:17 upgrade libc6:i386 2.13-38 2.13-38
2013-02-28 06:48:17 status half-configured libc6:i386 2.13-38
2013-02-28 06:48:17 status unpacked libc6:i386 2.13-38
2013-02-28 06:48:17 status half-installed libc6:i386 2.13-38
2013-02-28 06:48:18 status half-installed libc6:i386 2.13-38
2013-02-28 06:48:18 status unpacked libc6:i386 2.13-38
2013-02-28 06:48:18 status unpacked libc6:i386 2.13-38
2013-02-28 06:48:18 install multiarch-support:i386 <none> 2.13-38
2013-02-28 06:48:18 status half-installed multiarch-support:i386 2.13-38
2013-02-28 06:48:18 status unpacked multiarch-support:i386 2.13-38
2013-02-28 06:48:18 status unpacked multiarch-support:i386 2.13-38
2013-02-28 06:48:18 install findutils:i386 <none> 4.4.2-5
2013-02-28 06:48:18 status half-installed findutils:i386 4.4.2-5
2013-02-28 06:48:18 status unpacked findutils:i386 4.4.2-5
2013-02-28 06:48:18 status unpacked findutils:i386 4.4.2-5
2013-02-28 06:48:18 install gcc-4.7-base:i386 <none> 4.7.2-5
2013-02-28 06:48:18 status half-installed gcc-4.7-base:i386 4.7.2-5
2013-02-28 06:48:18 status unpacked gcc-4.7-base:i386 4.7.2-5
2013-02-28 06:48:18 status unpacked gcc-4.7-base:i386 4.7.2-5
2013-02-28 06:48:18 install libgcc1:i386 <none> 1:4.7.2-5
2013-02-28 06:48:18 status half-installed libgcc1:i386 1:4.7.2-5
2013-02-28 06:48:18 status unpacked libgcc1:i386 1:4.7.2-5
2013-02-28 06:48:18 status unpacked libgcc1:i386 1:4.7.2-5
2013-02-28 06:48:18 install grep:i386 <none> 2.14-1
2013-02-28 06:48:18 status half-installed grep:i386 2.14-1
2013-02-28 06:48:18 status unpacked grep:i386 2.14-1
2013-02-28 06:48:18 status unpacked grep:i386 2.14-1
2013-02-28 06:48:18 install gzip:i386 <none> 1.5-1.1
2013-02-28 06:48:18 status half-installed gzip:i386 1.5-1.1
2013-02-28 06:48:18 status unpacked gzip:i386 1.5-1.1
2013-02-28 06:48:18 status unpacked gzip:i386 1.5-1.1
2013-02-28 06:48:18 install hostname:i386 <none> 3.12
2013-02-28 06:48:18 status half-installed hostname:i386 3.12
2013-02-28 06:48:18 status unpacked hostname:i386 3.12
2013-02-28 06:48:18 status unpacked hostname:i386 3.12
2013-02-28 06:48:18 install insserv:i386 <none> 1.14.0-5
